lawid	source	lawvolume	lawpage	lawnumberchapter	lawtype	lawtitle	lawapproved	laweffective	lawsovereign	lawurl	lawdescriptiondone	lawnumberchaptertext	lawsession	lawsessiontype	lawpublished	lawissue
2611	727	128	20	6		To incorporate the borough of Haworth, in the county of Bergen.	1904-02-24				t					\N
2612	727	130	153	95		To set off a part of the city of Newark, in the county of Essex, and annex such portion so set off to the city of East Orange, in the county of Essex.	1906-04-09				t					\N
2613	727	122	171	105		Incorporating "the borough of Hawthorne," in the county of Passaic.	1898-03-24				t					\N
2614	727	152	48	30		To ratify, confirm and continue the incorporation of the borough of Millstone, in the county of Somerset, and to fix the boundaries and corporate name thereof.	1928-03-12				t					\N
2616	727	98	412	351		A supplement to an act to revise the charter of the Borough of Princeton.	1874-03-21				f					\N
2617	727	33	129	0		To erect and set off a new township from the township of Springfield in the county of Essex.	1809-11-08	1810-03-26			f					\N
2619	727	121	45	29		To create a new township in the county of Bergen, to be called the township of Overpeck.	1897-03-23				t					\N
2621	727	137	733	332		To establish a new township in the county of Warren to be called the township of White.	1913-04-09				t					\N
2622	727	90	188	85		To incorporate the town of Hammonton, in the township of Mullica, in the county of Atlantic.	1866-03-05				f					\N
2624	727	76	41	21		To annex Petty's island to the township of Delaware, in the county of Camden.	1852-02-14				f					\N
2625	727	159	298	111		To fix and establish a new boundary line between the township of Walpack and the township of Stillwater, in the county of Sussex	1935-03-25				t					\N
2626	727	72	48	0		To set off from the township of Freehold, in the county of Monmouth, a new township, to be called the township of Marlborough.	1848-02-17				f					\N
2627	727	95	1094	424		To re-organize the local government of Jersey City.	1871-03-31				f					\N
2628	983	1682	229	4	35 Car. 2	To divide the Province into four Counties.	1682*-03-07J				f					\N
2629	727	64	65	0		To create the county of Hudson.	1840-02-22	1840-04-13			f					\N
2630	727	143	418	189		To incorporate the borough of Gibbsboro, in the county of Camden. 	1919-04-15				t					\N
2632	727	82	109	54		To incorporate the city of Salem.	1858-02-25				f					\N
2633	727	125	93	54		To incorporate the borough of Wood-Lynne, in the county of Camden.	1901-03-19				t					\N
2634	727	96	405	170		To set off from the township of Mansfield, in the county of Burlington, a new township, to be called the township of Florence.	1872-03-07				f					\N
2635	727	69	265	0		To establish a new township in the county of Somerset, to be called the township of Branchburgh.	1845-04-05	1845-04-14			f					\N
2638	727	130	169	105		To alter and change the territorial area of the township of Boonton, in the county of Morris, by taking therefrom all that part of said township which is included within the corporate limits of the town of Boonton.	1906-04-12				t					\N
2639	732	141	1057	6		"The Mayor and City Council of Clifton" changed to "City of Clifton," May 5, 1917.					f					\N
2640	732	155	1393	3		"The Inhabitants of the Township of Brick" has changed its name to "Township of Brick," [...].	1931-04-04				f					\N
2642	732	178	1255	1		At the General Election held on November 3, 1953 the voters of the city of Newark adopted the Mayor-Council Plan C of the Municipal Charter Law, providing for the division of the municipality into five wards, with nine councilmen, one to be elected from each ward, and four to be elected at large.	1953-11-09				f					\N
2643	727	69	93	0		To repeal the act entitled, "An act to establish a new township in the county of Cumberland, to be called Columbia.	1845-03-13				f					\N
2644	727	138	438	217		To ratify, confirm and continue the incorporation of the borough of Dunellen, in the county of Middlesex, and to fix the boundaries and corporate name thereof.	1914-04-15				t					\N
2645	727	93	1161	476		To incorporate Dover.	1869-04-01				f					\N
2647	727	25	44	21		To alter and amend the Charter of the City of New-Brunswick.	1801-02-23				f					\N
2648	980	1767	299	460	7 Geo. 3	To divide the Town of Shrewsbury, and annex parts thereof to the Towns of Freehold and Upperfreehold.	1767-06-24	1768-03-01			f					\N
2649	727	115	33	22		For the formation and government of villages.	1891-02-23				f					\N
2650	727	151	502	273		To incorporate the borough of Berlin, in the county of Camden.	1927-03-29				t					\N
2651	727	99:Public	334	193		To incorporate the Borough of Haddonfield, Camden county, New Jersey.	1875-03-24				t					\N
2652	727	129	58	35		To incorporate the borough of Highland Park, in the county of Middlesex.	1905-03-15				t					\N
2653	727	148	121	63		To incorporate the "Borough of Basking Ridge," in the county of Somerset.	1924-03-06				t					\N
2654	727	149	16	5		To incorporate the borough of Clementon, in the county of Camden.	1925-02-13				t					\N
2655	727	78	343	125		To annex part of the township of Pemberton, in the county of Burlington, to the township of Westhampton, in said county.	1854-03-10				f					\N
2656	727	192	747	246		To amend the charter of Gloucester city, in the county of Camden.	1968-08-06				f					\N
2657	727	143	57	28		To incorporate the borough of Sayreville.	1919-04-02				t					\N
2658	727	68	237	0		To erect a part of the county of Gloucester into a new county, to be called the county of Camden.	1844-03-13				f					\N
2659	727	149	54	10		A Supplement to an act entitled "An act to enable adjoining municipalities, other than cities, lying in the same county, to consolidate and form a city," approved March twentieth, one thousand nine hundred and twenty-three.	1925-02-26				f					\N
2660	727	127	735	268		To annex a portion of the township of Orvil, in the county of Bergen, to the borough of Saddle River.	1903-04-17				t					\N
2661	727	70	97	0		To establish a new township in the county of Burlington, to be called the township of Pemberton.	1846-03-02	1846-03-10			f					\N
2662	727	85	99	52		To divide the township of North Bergen, in the county of Hudson.	1861-02-28				f					\N
2663	727	144	542	299		To incorporate the borough of Point Pleasant in the county of Ocean.	1920-04-21				t					\N
2664	732	161	793	1		The Borough of Teterboro, Bergen County, changed its name to "Borough of Bendix," at a Special Election on April 14, 1937.	1937-04-17				f					\N
2665	727	141	75	42		To annex to the village of South Orange, in the county of Essex, a portion of the city of East Orange, in the county of Essex.	1917-03-16				t					\N
2667	732	156	747	1		"The Inhabitants of the Township of Mendham in the County of Morris" has changed its name to "The Township of Mendham in the County of Morris."	1931-09-01				f					\N
2668	732	171	1403	2		At a Special Election held in the Borough of West Wildwood, Cape May County of March 25, 1947, for the adoption or rejection of Chapters 70 to 76 of the Title Municipalities and Counties of the Revised Statutes (40:70-1 et seq.) providing for the Commission Form of Government was defeated [...].	1947-03-28				f					\N
2669	727	123	177	70		To incorporate the borough of Palisades Park, in the county of Bergen.	1899-03-22				t					\N
2670	727	85	299	114		To set off from the township of Clinton and the town of Orange, in the county of Essex, a new township, to be called the township of South Orange.	1861-03-13	1861-04-01			f					\N
2671	727	21	188	640		For dividing the Township of Newton, in the County of Sussex, into two separate Townships.	1797-03-01				f					\N
2672	727	21	155	626		For dividing the Township of Windsor, in the County of Middlesex, into two separate Townships.	1797-02-09				f					\N
2673	727	99:Public	439	291		To set-off a part of the township of Mansfield to the town of Hackettstown, in the county of Warren.	1875-04-01				t					\N
2674	732	141	1057	1		"The Mayor and Common Council of the City of Salem" changed to "City of Salem," January 20, 1915.					f					\N
2675	727	51	5	0		To declare the boundary line between the townships of Wantage and Frankford, in Sussex county.	1826-11-06				f					\N
2676	727	90	964	425		Relative to the boundaries of Monmouth County.	1866-04-04				f					\N
2678	727	173	712	226		Validating the change of the channel of Pompesse Creek at the mouth thereof and establishment of New Pompesse Creek northwest of Broad street in the borough of Riverton and township of Cinnaminson, county of Burlington and State of New Jersey; and validating and confirming certain riparian grants by the State of New Jersey and certain conveyances to the State of New Jersey made in execution of said change in Pompesse Creek and establishment of New Pompesse Creek as shown on plan entitled "State of New Jersey, Board of Commerce and Navigation, map showing riparian lands and conveyances," Sheet No. 842; and validating and confirming the change of the boundary line between said borough of Riverton and township of Cinnaminson to extend along the middle line of the new channel of Pompesse Creek or "New Pompesse Creeek," as shown on said plan.	1949-05-24				f					\N
2679	727	83	598	205		To alter the boundary line between the townships of Winslow, Gloucester and Waterford, in the county of Camden.	1859-03-23				f					\N
2680	727	96	686	310		Revising the act to incorporate the City of Bayonne, in the County of Hudson and State of New Jersey, approved March tenth, eighteen hundred and sixty nine.	1872-03-22				f					\N
2682	727	94	546	240		For the improvement of Flemington.	1870-03-14				f					\N
2683	727	123	40	28		To incorporate the borough of New Providence, in the county of Union.	1899-03-14				t					\N
